Date
8/16/2017
8/12/2016

10/18/2016

12/23/2015
8/19/2010
4/28/2017
11/7/2014
12/10/2017

12/28/2015
1/22/2015
11/7/2014
3/6/2016
5/24/2017
6/16/2017
5/2/2016
10/20/2016
12/24/2013
6/16/2017
8/29/2014
10/19/2016
5/7/2016
6/7/2015
4/12/2015
6/30/2016
5/20/2013
8/29/2017
11/28/2016
4/30/2015
3/7/2017
5/30/2014
11/23/2016
12/30/2011
9/8/2012
7/12/2017
7/1/2016
3/7/2017
7/25/2014
6/12/2017
5/24/2016
4/21/2017
6/27/2014
11/28/2016
2/7/2014
10/21/2016
1/19/2017
7/23/2015
3/7/2017
1/15/2014
4/30/2012
6/25/2012
5/21/2010
5/28/2012
4/6/2012
12/30/2011
7/21/2014
3/1/2011
6/8/2013
3/10/2014
12/31/2015
10/14/2016
1/20/2017

12/31/2015
6/16/2017
10/7/2017
9/12/2016
12/24/2014
6/30/2014
11/28/2016
3/10/2014
1/22/2013
7/8/2013

5/7/2016
1/13/2014
10/28/2016
9/5/2017
6/2/2018
12/18/2015
10/14/2016

10/19/2016
11/26/2014
11/28/2016
6/2/2018
11/1/2012
12/3/2018
1/18/2016
3/7/2015
12/3/2018
12/18/2015
3/28/2014
4/28/2016
9/15/2016
5/7/2017
8/26/2016
5/17/2013
10/7/2017
10/7/2017
1/19/2012
3/7/2017
8/26/2016
2/12/2016
1/13/2014
1/7/2016
12/31/2015
12/5/2017
11/28/2016
7/12/2015
3/7/2017
12/29/2017
1/11/2016
1/26/2015
12/30/2016
7/9/2014
1/28/2016
2/24/2014
4/25/2017
4/25/2017
5/2/2016
10/19/2016
8/29/2017
11/10/2016

6/14/2016
6/16/2017
11/28/2016
11/28/2016
2/4/2012
9/13/2016

6/30/2016
4/19/2018
10/19/2016
5/7/2017
1/20/2017
10/28/2016
5/7/2016
3/7/2017
1/26/2018
7/25/2013
1/13/2014
3/7/2017
1/7/2016
12/5/2017
10/28/2016
6/16/2017
5/7/2016
10/19/2016
8/2/2018
3/12/2015
5/22/2015
9/30/2016
6/13/2016
3/7/2017
12/29/2015
3/7/2017
12/5/2017
4/19/2018
3/2/2012
2/2/2015
6/6/2014
2/9/2016
3/7/2017
3/10/2014
1/3/2018
6/8/2013
1/28/2016
1/23/2017
3/5/2013
9/13/2016
3/7/2014
2/6/2016
7/18/2014
3/7/2017
5/8/2013
10/27/2016
1/27/2017
8/26/2016

12/5/2017
10/7/2017
6/25/2014
10/27/2016
7/25/2014
1/6/2016
5/28/2012
10/27/2016
1/21/2011
5/7/2016
8/16/2017
9/23/2016
9/29/2016
8/29/2014
7/25/2014
6/21/2016
12/10/2017
7/15/2013
9/3/2017
10/16/2014
9/12/2016
12/28/2015
7/16/2015
1/27/2015
3/7/2017
1/18/2016
5/28/2012
10/7/2017
8/29/2014
6/16/2017
12/23/2015
1/7/2016
3/6/2016
9/15/2016
7/5/2018
10/28/2016
9/23/2016
12/1/2016
3/4/2012
10/19/2016
10/19/2016
10/19/2016
9/29/2016
1/28/2015
11/28/2016
5/4/2012
3/30/2017
4/28/2017
7/24/2014
6/16/2017
5/1/2016

3/7/2017
12/1/2016
2/1/2015
1/26/2017
6/15/2017
12/2/2015
3/2/2012
8/17/2012
1/20/2017
6/27/2013
6/9/2017
10/7/2017
7/30/2013
9/7/2015
12/31/2012
6/30/2014
2/24/2012
6/30/2014
9/12/2016
5/15/2017
3/7/2017
3/7/2017

4/7/2016
6/8/2013
12/31/2015
7/14/2014
1/17/2012
3/7/2017
5/2/2016
6/16/2017
1/31/2013
8/16/2017
6/6/2017
12/3/2018
5/2/2016
12/18/2013
8/30/2016
3/7/2017
7/14/2015
10/21/2016
12/23/2015
8/5/2015
8/30/2010
12/2/2018
1/7/2016
6/16/2017
12/21/2015
7/8/2013
5/6/2015
